"Ingr","Match","Score"
"spanish wine","wine, light",0.5
"ladle","lamb chop, ns as to cut, cooked, lean only eaten",0
"maraschino cherry","crisp, cherry",0.5
"beet garnish","beet juice",0.5
"complete nutritional drink","nutritional drink or shake, ready-to-drink (ensure)",0.547722557505166
"vanilla cupcakes","fudge, vanilla",0.5
"gorgonzola dolce","lamb chop, ns as to cut, cooked, lean only eaten",0
"grilled and ready breast","chicken breast, grilled without sauce, skin eaten",0.377964473009227
"vanilla pudding and pie filling","cherry pie filling",0.516397779494322
"italian pureed tomatoes","tomatoes, scalloped",0.408248290463863
"prosciutto san daniele","ham, prosciutto",0.408248290463863
"""smuckers® peach sugar free""","cookie, sugar wafer, sugar free",0.566946709513841
"rainbow carrots","carrots, raw",0.5
"dried bean mix","snack mix, plain (chex mix)",0.436435780471985
"port or brandy","brandy",0.577350269189626
"danish ham","ham, prosciutto",0.5
"flower water","water, bottled, flavored (propel water)",0.534522483824849
"plain cake donuts","doughnut, cake type, plain",0.577350269189626
"football sugar cookies","sugar substitute and sugar blend",0.436435780471985
"xylitol sweetener","agave liquid sweetener",0.408248290463863
"chile-garlic sauce","garlic sauce",0.816496580927726
"italian dried seasoning","papaya, dried",0.408248290463863
"bakery challah","bread, egg, challah",0.408248290463863
"ribbon sorrel","lamb chop, ns as to cut, cooked, lean only eaten",0
"sourdough sponge","cake, sponge, chocolate",0.408248290463863
"cheddar cheese snack sticks","cheese, cheddar",0.707106781186547
"german chocolate cake mix","cake, pound, chocolate",0.577350269189626
"potato bun","gnocchi, potato",0.5
"hardening chocolate sauce","fudge, chocolate, chocolate-coated",0.471404520791032
"sugar cookie dough","cookie, sugar wafer",0.666666666666667
"chuck roast","roast beef sandwich",0.408248290463863
"pretzel hamburger buns","hamburger slider",0.408248290463863
"elbow noodles","noodles, cooked",0.5
"creamy french dressing","creamy dressing",0.816496580927726
"loin chops","pork roast, loin, cooked, lean only eaten",0.267261241912424
"pasteurized egg product","egg, benedict",0.408248290463863
"flat breads","lamb chop, ns as to cut, cooked, lean only eaten",0
"celery seeds","mixed seeds",0.5
"sea grass","sea bass, pickled",0.408248290463863
"cinnamon toast crunch","cereal (general mills cinnamon toast crunch)",0.707106781186548
"baby clams","clams, stuffed",0.5
"from 2 large sprigs","double hamburger, from fast food, 2 large patties",0.530330085889911
"semifreddo","lamb chop, ns as to cut, cooked, lean only eaten",0
"kiwi slices","kiwi fruit, raw",0.408248290463863
"round flour tortillas","tortilla, flour",0.408248290463863
"cinnamon maple syrup","blueberry syrup",0.408248290463863
"red velvet cake mix","cake, fruit cake, light or dark, holiday type cake",0.387298334620742
"beef shoulder","beef goulash",0.5
"crab","crab imperial",0.707106781186547
"spicy peach chutney","chutney",0.577350269189626
"cayenne chiles","chiles rellenos, cheese-filled",0.353553390593274
"gala melon","bitter melon, cooked",0.408248290463863
"trout roe","roe, sturgeon",0.5
"rib spice","danish pastry, plain or spice",0.316227766016838
"""moscato dasti""","lamb chop, ns as to cut, cooked, lean only eaten",0
"cheerios","cereal (general mills cheerios)",0.5
"loaf crispy french bread","bread, french or vienna",0.5
"tamale boil mixture","tamale, sweet",0.408248290463863
"sponge cake shells","cake, sponge, chocolate",0.666666666666667
"zucchini flowers","bread, zucchini",0.5
"chocolate-covered espresso","espresso coffee beans, chocolate-covered",0.774596669241483
"buttermilk","buttermilk, whole",0.707106781186547
"mandarin oranges in light syrup","chocolate syrup, light",0.516397779494322
"pickles slices","pickles, dill",0.5
"vermicelli rice noodles","rice noodles, cooked",0.666666666666667
"lemon honey ice cream","ice cream, nfs",0.577350269189626
"baby lamb","lamb, baby food, strained",0.707106781186547
"peas","wasabi peas",0.707106781186547
"crushed toffee","toffee, plain",0.5
"pretzel twists","pretzel, baby food",0.408248290463863
"""big daddys thousand island""","thousand island dressing",0.577350269189626
"apple slice","crisp, apple, apple dessert",0.577350269189626
"cherry sorbet","sorbet",0.707106781186547
"from veggie lasagna recipe","cornbread, made from home recipe",0.447213595499958
"pizza blend cheese","cheese, mexican blend",0.666666666666667
"genmai sake","lamb chop, ns as to cut, cooked, lean only eaten",0
"mango jam","mango nectar",0.5
"beans and cheese","beans and franks",0.666666666666667
"whole natural almonds","buttermilk, whole",0.408248290463863
"florida snapper fillets","lamb chop, ns as to cut, cooked, lean only eaten",0
"pastina","lamb chop, ns as to cut, cooked, lean only eaten",0
"diet lemon-lime soda","soft drink, cream soda, diet",0.447213595499958
"peking duck sauce","duck sauce",0.816496580927726
"stevia sugar substitute","sugar substitute, stevia, liquid",0.866025403784439
"vegenaise","lamb chop, ns as to cut, cooked, lean only eaten",0
"egg mix","snack mix, plain (chex mix)",0.534522483824849
"katsu sauce","beef and potatoes with cream sauce, white sauce or mushroom sauce",0.514495755427526
"baby asparagus","baby ruth",0.5
"sparkling cranberries","cranberries, raw",0.5
"baby turnips","baby ruth",0.5
"to your sauce","ravioli, ns as to filling, no sauce",0.436435780471985
"corn flakes","cereal, corn flakes",0.816496580927726
"tri-","lamb chop, ns as to cut, cooked, lean only eaten",0
"monterrey cheese","cheese, processed cheese food",0.577350269189626
"julienne green onions","onions, green, raw",0.666666666666667
"peaches in 100-percent juice","apple juice, 100%",0.516397779494322
"ginger dressing","sesame dressing",0.5
"bucco","lamb chop, ns as to cut, cooked, lean only eaten",0
"vanilla","fudge, vanilla",0.707106781186547
"popping candy","candy, nfs",0.5
"gelatin dissolved in 2","gelatin dessert",0.353553390593274
"burnt oranges","lamb chop, ns as to cut, cooked, lean only eaten",0
"pan sauce","beef and potatoes with cream sauce, white sauce or mushroom sauce",0.514495755427526
"red onion slices","bread, onion",0.408248290463863
"pastry for 2 (9-inch) crusts","pastry, puff",0.288675134594813
"thin green beans","green beans, raw",0.666666666666667
"beefsteak tomato slices","tomato aspic",0.408248290463863
"juice from 1 lime","lime juice, 100%, freshly squeezed",0.447213595499958
"san daniele ham","ham, prosciutto",0.408248290463863
"atlantic blue crabs","cheese, blue or roquefort",0.288675134594813
"vegetable chips","vegetable chips",1
"best chocolate frosting","fudge, chocolate, chocolate-coated",0.471404520791032
"asparagus spears","asparagus, raw",0.5
"egg pappardelle noodles","beef and egg noodles, baby food, strained",0.436435780471985
"apple and hickory wood chips","multigrain chips (sun chips)",0.365148371670111
"phyllo tart shells","breakfast tart",0.408248290463863
"plum tomatoes and juices","pork with chili and tomatoes",0.447213595499958
"creamery potatoes","stewed potatoes",0.5
"tonic water","water, bottled, flavored (propel water)",0.534522483824849
"grilled sweet and tangy pork chops","sweet and sour pork",0.612372435695795
"garlic herb cheese","cheese, processed cheese food",0.471404520791032
"lavender bitter","bitter melon, cooked",0.408248290463863
"ciroc vodka","vodka",0.707106781186547
"heirloom baby tomato sauce","tomato chili sauce",0.577350269189626
"creamy blue cheese","cheese, blue or roquefort",0.577350269189626
"chipotle hot sauce","hot thai sauce",0.666666666666667
"lime juice","lime juice, 100%, freshly squeezed",0.632455532033676
"milk chocolate pistoles","chocolate milk drink",0.666666666666667
"curry leaves","lentil curry",0.5
"passion fruit sauce","passion fruit, raw",0.666666666666667
"long chiles","chiles rellenos, cheese-filled",0.353553390593274
"soft hero rolls","pizza rolls",0.408248290463863
"chocolate chunk cookie","cookie, chocolate chip",0.666666666666667
"loaf seven grain bread","bread, whole grain white",0.5
"pullman bread","bread, zucchini",0.5
"roasted garlic seasoning","garlic, cooked",0.408248290463863
"gumbo file","lobster gumbo",0.5
"beef hot dogs","frankfurter or hot dog, beef",0.516397779494322
"jar of chutney","chutney",0.577350269189626
"roll","roll, multigrain",0.707106781186547
"ponzu dipping sauce","beef and potatoes with cream sauce, white sauce or mushroom sauce",0.420084025208403
"italian panettone","italian ice",0.5
"leftover gravy","gravy, nfs",0.5
"grilled corn salsa","salsa verde or salsa, green",0.436435780471985
"juice of 3 limes","fruit juice blend, 100% juice",0.377964473009227
"korean chili powder","bibimbap, korean",0.408248290463863
"clove powder","nutritional powder mix (eas whey protein powder)",0.471404520791032
"beet horseradish","horseradish",0.707106781186547
"pineapple rings in juice","pineapple juice, 100%",0.577350269189626
"steak seasoning salt","steak sauce",0.408248290463863
"fajita seasoning","fajita with vegetables",0.408248290463863
"raspberry fruit spread","fruit leather and fruit snacks candy",0.408248290463863
"pears","pears, baby food, junior",0.5
"lingonberry or cranberry preserves","cranberry sauce",0.353553390593274
"chinese spiced tea buttercream","chinese pancake",0.353553390593274
"regular brandy","brandy",0.707106781186547
"oil for pan","flaxseed oil",0.408248290463863
"beet-carrot-apple juice","beet juice",0.707106781186547
"corkscrew pasta","flavored pasta",0.5
"spanish chicken skillet","chicken, chicken roll, roasted",0.471404520791032
"wheat starch","bread, wheat or cracked wheat",0.534522483824849
"cranberry","cranberry sauce",0.707106781186547
"blue cheese sauce","cheese sauce",0.816496580927726
"lobster""","lobster, canned",0.707106781186547
"meat blend","meat, nfs",0.5
"sushi","sushi, nfs",0.707106781186547
"butternut squash","pie, squash",0.5
"blade steak","steak sauce",0.5
"jujube candy","candy, nfs",0.5
"paper drink umbrellas","energy drink",0.408248290463863
"crisco® pure olive oil","olive oil",0.707106781186547
"-purpose flour","tortilla, flour",0.5
"toffee chips","multigrain chips (sun chips)",0.577350269189626
"swiss cheese slices","cheese, swiss",0.816496580927726
"reserving","lamb chop, ns as to cut, cooked, lean only eaten",0
"cognac","lamb chop, ns as to cut, cooked, lean only eaten",0
"cerignola olive","olive tapenade",0.5
"candy-coated chocolate candies","easter egg, candy coated chocolate",0.670820393249937
"spanish chorizo","chorizo",0.707106781186547
"rice pilaf","rice pilaf",1
"mustard vinaigrette","mustard",0.707106781186547
"sesame seed hamburger buns","sesame dressing",0.353553390593274
"lecithin","lamb chop, ns as to cut, cooked, lean only eaten",0
"fronds","lamb chop, ns as to cut, cooked, lean only eaten",0
"lemon frosting","lemon, raw",0.5
"from 1 medium zucchini","hamburger, from fast food, 1 medium patty",0.566946709513841
"portuguese muffins","lamb chop, ns as to cut, cooked, lean only eaten",0
"palm fulls","palm hearts, cooked",0.408248290463863
"espellette pepper","pepper steak",0.5
"papaya puree","papaya, raw",0.5
"frank rolls","pizza rolls",0.5
"gingerbread house templates","cake or cupcake, gingerbread",0.288675134594813
"pea shoots","pea salad",0.5
"egg buns","egg, benedict",0.5
"coffee-flavored oil","coffee, latte, flavored",0.666666666666667
"rib veal chops","veal scallopini",0.408248290463863
"slab bacon","bacon bits",0.5
"coconut cream","pie, coconut cream",0.816496580927726
"links","pork sausage rice links",0.5
"baked potato chips","potato chips, baked, flavored",0.866025403784439
"blue cheese slaw","cheese, blue or roquefort",0.577350269189626
"plain oatmeal","oatmeal, from fast food, plain",0.632455532033676
"halibut fillet","halibut, smoked",0.5
"chifonnade","lamb chop, ns as to cut, cooked, lean only eaten",0
"roasted pear puree","cobbler, pear",0.408248290463863
"biscuit mix(preferred","snack mix, plain (chex mix)",0.436435780471985
"rib-eye steaks","lamb chop, ns as to cut, cooked, lean only eaten",0
"baby artichoke","artichoke, raw",0.5
"simple tomato sauce","tomato chili sauce",0.666666666666667
"mixed field greens","mixed salad greens, raw",0.577350269189626
"malted barley syrup","blueberry syrup",0.408248290463863
"dry ice","italian ice",0.5
"cherry-vanilla ice cream","ice cream, vanilla",0.866025403784439
"vanilla cookies","fudge, vanilla",0.5
"pancetta slices","lamb chop, ns as to cut, cooked, lean only eaten",0
"pork cushion meat","meat loaf made with beef and pork",0.436435780471985
"crispix","cereal (kellogg's crispix)",0.5
"candy coated chocolate candies","easter egg, candy coated chocolate",0.670820393249937
"dungeoness crabmeat","lamb chop, ns as to cut, cooked, lean only eaten",0
"tyson grilled and ready breast fillets","chicken breast, grilled without sauce, skin eaten",0.308606699924184
"banana puree","banana nectar",0.5
"chicken giblets","chicken, chicken roll, roasted",0.577350269189626
"agave sweetener","agave liquid sweetener",0.816496580927726
"from about 2 small lemons","double hamburger, from fast food, 2 small patties",0.474341649025257
"pistachios nuts","nuts, nfs",0.5
"slurry","lamb chop, ns as to cut, cooked, lean only eaten",0
"original chili seasoning","nachos with chili",0.333333333333333
"beef chuck steak","beef steak, braised, lean only eaten",0.471404520791032
"dessert wine","wine, dessert, sweet",0.816496580927726
"lime oil","flaxseed oil",0.5
"dry jerk seasoning","whey, sweet, dry",0.333333333333333
"watermelon rind","watermelon, raw",0.5
"garlic chives","garlic, cooked",0.5
"peach juice","peach, canned, juice pack",0.707106781186547
"turkey seasonings","turkey, nfs",0.5
"beef strip steaks","beef goulash",0.408248290463863
"™ veggie burgers","lamb chop, ns as to cut, cooked, lean only eaten",0
"pillsbury® vanilla frosting","fudge, vanilla",0.408248290463863
"""smuckers® apricot preserves""","apricot nectar",0.408248290463863
"caramel drizzle","caramel dip, regular",0.408248290463863
"blueberry syrup","blueberry syrup",1
"bratwurst pork sausage","pork sausage",0.816496580927726
"pita pocket bread","bread, pita",0.816496580927726
"baby amaretti cookies","baby ruth",0.408248290463863
"mustard-mayo sauce","sardines with mustard sauce",0.577350269189626
"spanish sparkling","spanish stew",0.5
"olive brittle","peanut brittle",0.5
"micro-greens","beet greens, raw",0.408248290463863
"baking mix","snack mix, plain (chex mix)",0.534522483824849
"crawfish tails","lamb chop, ns as to cut, cooked, lean only eaten",0
"coffee flavor ice cream","ice cream, nfs",0.577350269189626
"octopus tentacles","octopus, smoked",0.5
"turkey drumstick","turkey, drumstick, smoked, skin eaten",0.632455532033676
"coconut-cilantro rice pilaf","rice pilaf",0.707106781186547
"cannellini beans","refried beans",0.5
"egg whites","egg, benedict",0.5
"honey-dijon mustard","honey mustard dressing",0.666666666666667
"brine-cured olives","olives, stuffed",0.408248290463863
"mushroom filling","cherry pie filling",0.408248290463863
"cucumber-dill yogurt dip","dill dip, yogurt based",0.75
"from about a 3-pound bird)","bread, white, made from home recipe or purchased at a bakery",0.246182981958666
"from 1 small cabbage","cheeseburger, from fast food, 1 small patty",0.566946709513841
"poppy","poppy seed dressing",0.577350269189626
"cookie or biscuit cutters","cookie, chocolate or fudge",0.5
"flaky biscuits","lamb chop, ns as to cut, cooked, lean only eaten",0
"srirachi hot chili sauce","hot thai sauce",0.577350269189626
"bobby flay poultry rub","gravy, poultry",0.353553390593274
"fat","potato, canned, fat added, ns as to fat type",0.603022689155527
"canadian bacon slices","canadian bacon, cooked",0.666666666666667
"raclette cheese","cheese, processed cheese food",0.577350269189626
"himalayan salt block","salt pork, cooked",0.333333333333333
"sesame ginger dipping sauce","beef and potatoes with cream sauce, white sauce or mushroom sauce",0.363803437554499
"deep dish pie crust","pie, apple, two crust",0.5
"sprigs fresh mint","mint julep",0.408248290463863
"cacao content","kefir, ns as to fat content",0.288675134594813
"dried giant kelp","papaya, dried",0.408248290463863
"no-stick spray","butter, stick",0.408248290463863
"corn silk","corn, raw",0.5
"chinook salmon fillets","salmon, smoked",0.408248290463863
"goat cheese dressing","cheese, goat",0.816496580927726
"chipotle in adobo","adobo, with noodles",0.333333333333333
"texas yellow onion","bread, onion",0.408248290463863
"lemon wedges","lemon, raw",0.5
"crookneck","lamb chop, ns as to cut, cooked, lean only eaten",0
"amaranth flour","tortilla, flour",0.5
"lemon simple syrup","simple syrup",0.816496580927726
"1orange","lamb chop, ns as to cut, cooked, lean only eaten",0
"garlic salt","garlic, cooked",0.5
"rosemary ciabatta rolls","pizza rolls",0.408248290463863
"food storage bag","crackers, baby food",0.333333333333333
"basil aioli","basil, raw",0.5
"boudin sausages","vienna sausages stewed with potatoes, puerto rican style",0.25
"whole grain rotini","muffin, whole grain",0.666666666666667
"kettle potato chips","potato chips, plain",0.666666666666667
"frozen cheese pizza","pizza, cheese, from frozen, thick crust",0.707106781186548
"""kelloggs® rice krispies® cereal""","cereal (kellogg's rice krispies)",0.670820393249937
"cabrales cheese","cheese, processed cheese food",0.577350269189626
"wild king salmon fillet","salmon, smoked",0.353553390593274
"tubetti pasta","flavored pasta",0.5
"rock candy lollipops","candy, nfs",0.408248290463863
"snapper turtle","turtle and vegetable soup",0.353553390593274
"crescent-roll dough","roll, sour dough",0.666666666666667
"romaine lettuce","romaine lettuce, raw",0.816496580927726
"almond brickle bits","cookie, almond",0.408248290463863
"caper juice","fruit juice blend, 100% juice",0.534522483824849
"carrot matchsticks","muffin, carrot",0.5
"whiskey cream sauce","veal with cream sauce",0.577350269189626
"orange juice (from 4 medium oranges","orange juice, baby food",0.408248290463863
"slow-cooker beef curry","beef curry",0.707106781186547
"sesame semolina loaf","sesame dressing",0.408248290463863
"chive oil","flaxseed oil",0.5
"cinnamon crunch cereal","cereal (general mills cinnamon toast crunch)",0.707106781186548
"brisket ends","beef brisket, cooked, lean only eaten",0.288675134594813
"mojito mix syrup","mojito",0.577350269189626
"buttercream","lamb chop, ns as to cut, cooked, lean only eaten",0
"cookie sheet pans","cookie, applesauce",0.408248290463863
"chocolate-caramel candies","caramel, chocolate-flavored roll",0.577350269189626
"masking tape","lamb chop, ns as to cut, cooked, lean only eaten",0
"spaghetti squash","spaghetti squash, cooked",0.816496580927726
"gandules","lamb chop, ns as to cut, cooked, lean only eaten",0
"fennel vodka","vodka",0.707106781186547
"liquid pectin","yogurt, liquid",0.5
"greens only","beet greens, raw",0.408248290463863
"buttermilk blue cheese dressing","blue or roquefort cheese dressing",0.670820393249937
"golden onion soup mix","onion soup, made from dry mix",0.612372435695795
"cucumber","cucumber, cooked",0.707106781186547
"green river","olives, green",0.5
"garlic butter","butter, nfs",0.5
"sub roll","roll, multigrain",0.5
"eyeballs","lamb chop, ns as to cut, cooked, lean only eaten",0
"ginger whipped cream","cream, whipped",0.816496580927726
"sprigs of fresh lavender","coconut, fresh",0.353553390593274
"roasted salsa","salsa verde or salsa, green",0.534522483824849
"banana pepper strips","pepper, banana, raw",0.666666666666667
"peach and pear slices","peach, frozen",0.353553390593274
"anaheim","lamb chop, ns as to cut, cooked, lean only eaten",0
"cocktail sauce","cocktail sauce",1
"sea salt flakes","cereal, corn flakes",0.333333333333333
"pita chips","pita chips",1
"honey butter","honey butter",1
"bearnaise sauce","beef and potatoes with cream sauce, white sauce or mushroom sauce",0.514495755427526
"curacao","lamb chop, ns as to cut, cooked, lean only eaten",0
"brine","lamb chop, ns as to cut, cooked, lean only eaten",0
"rainbow sherbet buttercream","sherbet, all flavors",0.333333333333333
"charred salsa","salsa verde or salsa, green",0.534522483824849
"orange cheddar","orange blossom",0.5
"goat cheese pizzettes","cheese, goat",0.816496580927726
"rosemary sprig","lamb chop, ns as to cut, cooked, lean only eaten",0
"leftover from sage and mushroom stuffing","mushroom, asian, cooked, from dried",0.365148371670111
"orange salsa verde dipping sauce","salsa verde or salsa, green",0.50709255283711
"citron","lamb chop, ns as to cut, cooked, lean only eaten",0
"candy canes","candy, nfs",0.5
"bbq beef ribs","beef goulash",0.408248290463863
"pecan butter","butter, nfs",0.5
"chunky tomato bisque","tomato aspic",0.408248290463863
"plain and perfect pie crust","pie, apple, two crust",0.447213595499958
"spearmint leaves","taro leaves, cooked",0.408248290463863
"semolina rolls","pizza rolls",0.5
"jalapeno-pepper juice","stuffed jalapeno pepper",0.666666666666667
"salt shaker","salt pork, cooked",0.408248290463863
"smoked blue cheese","cheese, blue or roquefort",0.577350269189626
"speculoos","lamb chop, ns as to cut, cooked, lean only eaten",0
"spices","lamb chop, ns as to cut, cooked, lean only eaten",0
"flaked corn cereal","cereal, corn flakes",0.666666666666667
"waffle cones","waffle, nfs",0.5
"""mogridders barbecue sauce""","barbecue sauce",0.816496580927726
"powder","nutritional powder mix (eas whey protein powder)",0.666666666666667
"""birds eye chiles""","chiles rellenos, cheese-filled",0.288675134594813
"calabrian peppers","peppers, pickled",0.5
"vegetable and olive oil","olive oil",0.707106781186547
"glass preserving jars","lamb chop, ns as to cut, cooked, lean only eaten",0
"wedge orange","orange blossom",0.5
"mcintosh apple","crisp, apple, apple dessert",0.577350269189626
"refrigerate","lamb chop, ns as to cut, cooked, lean only eaten",0
"baguette loaf","tuna loaf",0.5
"kirby cucumbers","lamb chop, ns as to cut, cooked, lean only eaten",0
"hazelnut and chocolate paste","cookie, chocolate and vanilla sandwich",0.447213595499958
"banana ice cream","ice cream, nfs",0.666666666666667
"citrus soda","bread, irish soda",0.408248290463863
"baby spinach","spinach, creamed, baby food, strained",0.632455532033676
"spinach-flavored","flavored pasta",0.5
"currant tomatoes","tomatoes, scalloped",0.5
"thai curry powder","lentil curry",0.408248290463863
"serving french bread","bread, french or vienna",0.577350269189626
"regular paprika","mayonnaise, regular",0.5
"indonesian soy sauce","soy sauce",0.816496580927726
"dry sugar cookie mix","cookie, sugar wafer",0.577350269189626
"pita bread slices","bread, pita",0.816496580927726
"beefaroni","lamb chop, ns as to cut, cooked, lean only eaten",0
"arrabiata sauce","beef and potatoes with cream sauce, white sauce or mushroom sauce",0.514495755427526
"turkish coffee","coffee, turkish",1
"blackberry syrup","blueberry syrup",0.5
"kalamari","lamb chop, ns as to cut, cooked, lean only eaten",0
"california chile","sushi roll, california",0.408248290463863
"cod fish bones","cape cod",0.408248290463863
"marsala","veal marsala",0.707106781186547
"pork sausage meat","pork sausage",0.816496580927726
"quince jelly","jelly sandwich, regular jelly, nfs",0.534522483824849
"fans","lamb chop, ns as to cut, cooked, lean only eaten",0
"(yellow","summer squash, yellow, raw",0.5
"magnetized ""lid-wand","lamb chop, ns as to cut, cooked, lean only eaten",0
"velveeta® pasteurized prepared cheese product","cheese, processed cheese food",0.365148371670111
"asian chili paste","guava paste",0.408248290463863
"from1 medium peeled carrot","muffin, carrot",0.353553390593274
"jellied cranberry sauce","cranberry sauce",0.816496580927726
"tomato juice","tomato juice, 100%",0.816496580927726
"garnishing","lamb chop, ns as to cut, cooked, lean only eaten",0
"parmesan parsley biscuits","parsley, raw",0.408248290463863
"brioche challah","brioche",0.707106781186547
"sourdough baguette rolls","pizza rolls",0.408248290463863
"cooked rice noodles","rice noodles, cooked",1
"soft flour tortillas","tortilla, flour",0.408248290463863
"appenzeller cheese","cheese, processed cheese food",0.577350269189626
"mesa curry mix","snack mix, plain (chex mix)",0.436435780471985
"pizza pan","dessert pizza",0.5
"liquid coffee creamer","coffee creamer, liquid",1
"key lime juice","lime juice, 100%, freshly squeezed",0.516397779494322
"red pepper sauce","hot pepper sauce",0.666666666666667
"pickled onions","seaweed, pickled",0.5
"white balsamic vinaigrette","icing, white",0.408248290463863
"sicilian olives","olives, stuffed",0.5
"egg substitiute","egg, benedict",0.5
"""chili fixins""","nachos with chili",0.408248290463863
"frying chickens","lamb chop, ns as to cut, cooked, lean only eaten",0
"loaf of walnut bread","bread, zucchini",0.353553390593274
"fiesta lime seasoning blend","lime, raw",0.353553390593274
"cinnamon roll ice cream","ice cream, nfs",0.577350269189626
"asian pear puree","pear, asian, raw",0.666666666666667
"regular pineapple","mayonnaise, regular",0.5
"italian sausages","italian ice",0.5
"snapper fillet","vegetarian, fillet",0.5
"standing rib roast","roast beef sandwich",0.333333333333333
"mexican queso fresco","queso fresco",0.816496580927726
"butter cream","pie, peanut butter cream",0.707106781186547
"buttermilk-brined turkey breast","turkey, nfs",0.353553390593274
"rack pork spareribs","pork, spareribs, cooked, lean only eaten",0.471404520791032
"golden butter cake mix","cake or cupcake, peanut butter",0.447213595499958
"ancho chilies","lamb chop, ns as to cut, cooked, lean only eaten",0
"petal fennel","fennel bulb, raw",0.408248290463863
"from about 1 medium zucchini","hamburger, from fast food, 1 medium patty",0.50709255283711
"loose italian sausage","italian sausage",0.816496580927726
"chicken mold","chicken, chicken roll, roasted",0.577350269189626
"baked potato","potato, baked, nfs",0.816496580927726
"butterscotch ice cream base","ice cream, nfs",0.577350269189626
"shrimp stock","shrimp teriyaki",0.5
"togarashi","lamb chop, ns as to cut, cooked, lean only eaten",0
"candied ginger","apple, candied",0.5
"top round rump roast","roast beef sandwich",0.288675134594813
"cioppino base","crab soup, tomato-base",0.353553390593274
"andouille sausages","vienna sausages stewed with potatoes, puerto rican style",0.25
"ale style beer","beer",0.577350269189626
"bowtie pasta","flavored pasta",0.5
"chocolate discs","sugar-coated chocolate discs",0.707106781186547
"apricot nectar","apricot nectar",1
"onion slices","bread, onion",0.5
"pineapple juice from the canned pineapple","pineapple, canned, juice pack",0.707106781186547
"new potatoes","stewed potatoes",0.5
"""taco bell® home originals® thick n chunky salsa""","salsa verde or salsa, green",0.267261241912424
"honeycrisp apples","apples, baby food, toddler",0.353553390593274
"pie dough mix","pie, apple, fried pie",0.471404520791032
"slaw cabbage","cabbage, chinese, raw",0.408248290463863
"""campbells condensed cream of mushroom soup""","mushroom soup, cream of, prepared with water",0.617213399848368
"worcestershire","worcestershire sauce",0.707106781186547
"from the brown gravy recipe","cornbread, made from home recipe",0.4
"sea urchin","sea bass, pickled",0.408248290463863
"vanilla cream cheese frosting","ice cream, vanilla",0.577350269189626
"vanilla ice cream sandwiches","ice cream, vanilla",0.866025403784439
"crispy treats","cereal, crispy rice",0.408248290463863
"artic char","lamb chop, ns as to cut, cooked, lean only eaten",0
"italian-green olives","olives, green",0.816496580927726
"new york strip steaks","bacon strip, meatless",0.288675134594813
"root end","ginger root, pickled",0.408248290463863
"from 4 large sprigs","hamburger, from fast food, 1 large patty",0.377964473009227
"chocolate puffed cereal","cereal, chocolate flavored, frosted, puffed corn",0.707106781186548
"nova","lamb chop, ns as to cut, cooked, lean only eaten",0
"celeriac stock","celeriac, cooked",0.5
"grape soda","grape juice, 100%",0.408248290463863
"mushroom caps","mushroom soup, nfs",0.408248290463863
"tandoori masala","lamb chop, ns as to cut, cooked, lean only eaten",0
"bacardi","bacardi cocktail",0.707106781186547
"mocha fudge brownie mix","snack mix, plain (chex mix)",0.377964473009227
"venison chops","venison/deer, stewed",0.408248290463863
"blade mace","lamb chop, ns as to cut, cooked, lean only eaten",0
"lemon halves","lemon, raw",0.5
"pepper in adobo","pepper steak",0.408248290463863
"zester","lamb chop, ns as to cut, cooked, lean only eaten",0
"whole grain penne pasta","pasta, whole grain, cooked",0.75
"mexican red sauce","enchilada sauce, red",0.666666666666667
"wheat flour tortillas","wheat flour fritter, without syrup",0.516397779494322
"plain light soymilk","popcorn, microwave, plain, light",0.577350269189626
"regular romaine","mayonnaise, regular",0.5
"hatch chiles","chiles rellenos, cheese-filled",0.353553390593274
"baked bread","lobster with bread stuffing, baked",0.632455532033676
"stew meat","vegetable stew without meat",0.707106781186547
"paper towels","rice paper",0.5
"sea urchin roe","roe, sturgeon",0.408248290463863
"crispy chow mein noodles","noodles, chow mein",0.866025403784439
"leftover prepared corn","corn soup, cream of, prepared with milk",0.436435780471985
"swirl","bread, white with whole wheat swirl",0.408248290463863
"tabasco chipotle pepper sauce","hot pepper sauce",0.577350269189626
"""aged goats or sheeps milk cheese""","cheese, blue or roquefort",0.408248290463863
"whole wheat hamburger bun","roll, whole wheat, hamburger bun",0.894427190999916
"balsamic reduction","lamb chop, ns as to cut, cooked, lean only eaten",0
"toaster pastries","lamb chop, ns as to cut, cooked, lean only eaten",0
"chorizo","chorizo",1
"ahi (yellowfin) tuna steak","steak sauce",0.353553390593274
"country dijon mustard","mustard",0.577350269189626
"cherry brandy","brandy",0.707106781186547
"costa rican dark roast coffee","stuffed pork roast, puerto rican style",0.365148371670111
"immersion blender","lamb chop, ns as to cut, cooked, lean only eaten",0
"pigs feet","chicken feet",0.5
"the syrup","blueberry syrup",0.5
"from about 1 medium bunch","hamburger, from fast food, 1 medium patty",0.50709255283711
"""smuckers® concord grape jelly""","jelly sandwich, regular jelly, nfs",0.377964473009227
"pork steaks","pork sandwich",0.5
"from about 3 to 4 lemons","fish, ns as to type, from fast food",0.288675134594813
"wild turkey rye","turkey, nfs",0.408248290463863
"garlic granules","garlic, cooked",0.5
"tuscan kale","kale, raw",0.5
"asian chicken stock","mexican style chicken broth soup stock",0.471404520791032
"soft hamburger rolls","hamburger slider",0.408248290463863
